Time (s)	Position(Linear:Position) (mm)	Force(Linear:Load) (N)	Displacement(Linear:Digitale Position) (mm)	Strain	I_0	Q_0	I_1	Q_1	I_2	Q_2	I_3	Q_3
0.000000E+0	-2.542268E+1	6.311014E-1	-2.542267E+1	0.000000E+0	1.572210E+3	-5.345530E+3	3.421880E+3	-1.638800E+4	5.770950E+3	-2.859580E+4	2.145610E+4	-5.519390E+4
1.000000E-2	-2.542269E+1	8.776551E-1	-2.542268E+1	-1.052014E-7	1.567764E+3	-5.349976E+3	3.421880E+3	-1.639690E+4	5.770950E+3	-2.859135E+4	2.145610E+4	-5.518945E+4
2.000000E-2	-2.542269E+1	7.000659E-1	-2.542269E+1	-1.776165E-7	1.563318E+3	-5.354422E+3	3.421880E+3	-1.640579E+4	5.770950E+3	-2.858690E+4	2.145610E+4	-5.518500E+4
3.000000E-2	-2.542271E+1	6.417092E-1	-2.542270E+1	-3.181702E-7	1.558872E+3	-5.358868E+3	3.421880E+3	-1.641469E+4	5.770950E+3	-2.858245E+4	2.145610E+4	-5.518055E+4
4.000000E-2	-2.542272E+1	6.018253E-1	-2.542271E+1	-4.082614E-7	1.554426E+3	-5.363314E+3	3.421880E+3	-1.642359E+4	5.770950E+3	-2.857801E+4	2.145610E+4	-5.517611E+4
5.000000E-2	-2.542272E+1	7.506320E-1	-2.542271E+1	-4.285034E-7	1.558905E+3	-5.364020E+3	3.432252E+3	-1.641981E+4	5.765763E+3	-2.857211E+4	2.145610E+4	-5.516505E+4
6.000000E-2	-2.542273E+1	8.542230E-1	-2.542272E+1	-5.174542E-7	1.565068E+3	-5.364020E+3	3.444582E+3	-1.641365E+4	5.759596E+3	-2.856595E+4	2.145610E+4	-5.515275E+4
7.000000E-2	-2.542273E+1	6.277021E-1	-2.542272E+1	-5.262923E-7	1.571231E+3	-5.364020E+3	3.456912E+3	-1.640748E+4	5.753429E+3	-2.855978E+4	2.145610E+4	-5.514045E+4
8.000000E-2	-2.542273E+1	6.146077E-1	-2.542272E+1	-5.237264E-7	1.569989E+3	-5.361799E+3	3.458870E+3	-1.640206E+4	5.741342E+3	-2.855880E+4	2.145832E+4	-5.510517E+4
9.000000E-2	-2.542273E+1	9.148754E-1	-2.542272E+1	-5.357005E-7	1.567349E+3	-5.359159E+3	3.458870E+3	-1.639677E+4	5.728138E+3	-2.855880E+4	2.146096E+4	-5.506555E+4
1.000000E-1	-2.542274E+1	6.877678E-1	-2.542273E+1	-6.391914E-7	1.564709E+3	-5.356519E+3	3.458870E+3	-1.639149E+4	5.714934E+3	-2.855880E+4	2.146360E+4	-5.502593E+4
1.100000E-1	-2.542275E+1	7.083919E-1	-2.542275E+1	-7.905788E-7	1.562069E+3	-5.353879E+3	3.458870E+3	-1.638621E+4	5.701729E+3	-2.855880E+4	2.146625E+4	-5.498630E+4
1.200000E-1	-2.542277E+1	5.292566E-1	-2.542277E+1	-9.895778E-7	1.559429E+3	-5.351239E+3	3.458870E+3	-1.638092E+4	5.688525E+3	-2.855880E+4	2.146889E+4	-5.494668E+4
1.300000E-1	-2.542279E+1	8.113403E-1	-2.542278E+1	-1.161777E-6	1.556789E+3	-5.348599E+3	3.458870E+3	-1.637564E+4	5.675320E+3	-2.855880E+4	2.147153E+4	-5.490706E+4
1.400000E-1	-2.542278E+1	8.044392E-1	-2.542277E+1	-1.004973E-6	1.554149E+3	-5.345959E+3	3.458870E+3	-1.637036E+4	5.662116E+3	-2.855880E+4	2.147417E+4	-5.486744E+4
1.500000E-1	-2.542279E+1	6.256904E-1	-2.542278E+1	-1.174892E-6	1.547519E+3	-5.348629E+3	3.458870E+3	-1.636640E+4	5.659970E+3	-2.855260E+4	2.147150E+4	-5.485790E+4
1.600000E-1	-2.542279E+1	6.399304E-1	-2.542278E+1	-1.181449E-6	1.540114E+3	-5.352329E+3	3.458870E+3	-1.636270E+4	5.659970E+3	-2.854519E+4	2.146780E+4	-5.485420E+4
1.700000E-1	-2.542279E+1	8.112658E-1	-2.542278E+1	-1.161207E-6	1.532709E+3	-5.356030E+3	3.458870E+3	-1.635899E+4	5.659970E+3	-2.853779E+4	2.146409E+4	-5.485049E+4
1.800000E-1	-2.542279E+1	8.073635E-1	-2.542278E+1	-1.180309E-6	1.525304E+3	-5.359730E+3	3.458870E+3	-1.635529E+4	5.659970E+3	-2.853038E+4	2.146039E+4	-5.484679E+4
1.900000E-1	-2.542278E+1	7.182034E-1	-2.542278E+1	-1.096490E-6	1.517900E+3	-5.363431E+3	3.458870E+3	-1.635159E+4	5.659970E+3	-2.852298E+4	2.145669E+4	-5.484309E+4
2.000000E-1	-2.542280E+1	5.003577E-1	-2.542279E+1	-1.252154E-6	1.524496E+3	-5.364020E+3	3.451094E+3	-1.635100E+4	5.675519E+3	-2.852180E+4	2.145610E+4	-5.487361E+4
2.100000E-1	-2.542280E+1	8.680020E-1	-2.542279E+1	-1.272681E-6	1.533746E+3	-5.364020E+3	3.441844E+3	-1.635100E+4	5.694014E+3	-2.852180E+4	2.145610E+4	-5.491061E+4
2.200000E-1	-2.542280E+1	7.158658E-1	-2.542279E+1	-1.211099E-6	1.535220E+3	-5.361429E+3	3.437779E+3	-1.635359E+4	5.699552E+3	-2.852180E+4	2.145351E+4	-5.492428E+4
2.300000E-1	-2.542279E+1	7.296354E-1	-2.542278E+1	-1.174037E-6	1.535220E+3	-5.358348E+3	3.434698E+3	-1.635668E+4	5.702635E+3	-2.852180E+4	2.145042E+4	-5.493353E+4
2.400000E-1	-2.542282E+1	6.547756E-1	-2.542281E+1	-1.420077E-6	1.535220E+3	-5.355266E+3	3.431616E+3	-1.635976E+4	5.705719E+3	-2.852180E+4	2.144734E+4	-5.494278E+4
2.500000E-1	-2.542281E+1	7.270416E-1	-2.542280E+1	-1.334547E-6	1.535220E+3	-5.352185E+3	3.428535E+3	-1.636284E+4	5.708802E+3	-2.852180E+4	2.144426E+4	-5.495203E+4
2.600000E-1	-2.542281E+1	8.705677E-1	-2.542280E+1	-1.347662E-6	1.535220E+3	-5.349103E+3	3.425453E+3	-1.636592E+4	5.711885E+3	-2.852180E+4	2.144118E+4	-5.496127E+4
2.700000E-1	-2.542282E+1	6.673485E-1	-2.542281E+1	-1.485935E-6	1.535220E+3	-5.346022E+3	3.422372E+3	-1.636901E+4	5.714968E+3	-2.852180E+4	2.143809E+4	-5.497052E+4
2.800000E-1	-2.542282E+1	6.099371E-1	-2.542281E+1	-1.450297E-6	1.535220E+3	-5.330027E+3	3.421880E+3	-1.636950E+4	5.746457E+3	-2.852180E+4	2.143760E+4	-5.500301E+4
2.900000E-1	-2.542283E+1	7.803738E-1	-2.542282E+1	-1.561201E-6	1.527462E+3	-5.334788E+3	3.421880E+3	-1.636174E+4	5.752450E+3	-2.851404E+4	2.143760E+4	-5.501676E+4
3.000000E-1	-2.542285E+1	7.215748E-1	-2.542284E+1	-1.753357E-6	1.518199E+3	-5.344051E+3	3.421880E+3	-1.635248E+4	5.752450E+3	-2.850478E+4	2.143760E+4	-5.502602E+4
3.100000E-1	-2.542285E+1	7.174490E-1	-2.542284E+1	-1.728839E-6	1.516720E+3	-5.342421E+3	3.418771E+3	-1.635411E+4	5.752450E+3	-2.850330E+4	2.143760E+4	-5.502750E+4
3.200000E-1	-2.542287E+1	5.554827E-1	-2.542286E+1	-1.945229E-6	1.516720E+3	-5.338721E+3	3.415071E+3	-1.635781E+4	5.752450E+3	-2.850330E+4	2.143760E+4	-5.502750E+4
3.300000E-1	-2.542287E+1	7.143477E-1	-2.542286E+1	-1.951216E-6	1.516720E+3	-5.335021E+3	3.411371E+3	-1.636151E+4	5.752450E+3	-2.850330E+4	2.143760E+4	-5.502750E+4
3.400000E-1	-2.542287E+1	8.130725E-1	-2.542287E+1	-2.018499E-6	1.516720E+3	-5.331321E+3	3.407671E+3	-1.636521E+4	5.752450E+3	-2.850330E+4	2.143760E+4	-5.502750E+4
3.500000E-1	-2.542287E+1	5.950313E-1	-2.542287E+1	-2.018214E-6	1.516720E+3	-5.327621E+3	3.403971E+3	-1.636891E+4	5.752450E+3	-2.850330E+4	2.143760E+4	-5.502750E+4
3.600000E-1	-2.542289E+1	6.674370E-1	-2.542289E+1	-2.220064E-6	1.521902E+3	-5.332212E+3	3.413742E+3	-1.636432E+4	5.757632E+3	-2.850330E+4	2.143760E+4	-5.502750E+4
3.700000E-1	-2.542288E+1	7.074932E-1	-2.542287E+1	-2.098327E-6	1.528069E+3	-5.338379E+3	3.426071E+3	-1.635815E+4	5.763799E+3	-2.850330E+4	2.143760E+4	-5.502750E+4
3.800000E-1	-2.542289E+1	7.799920E-1	-2.542288E+1	-2.150500E-6	1.534235E+3	-5.344545E+3	3.438401E+3	-1.635198E+4	5.769965E+3	-2.850330E+4	2.143760E+4	-5.502750E+4
3.900000E-1	-2.542292E+1	7.510651E-1	-2.542291E+1	-2.431607E-6	1.538329E+3	-5.345530E+3	3.437263E+3	-1.635100E+4	5.770950E+3	-2.850330E+4	2.143760E+4	-5.503061E+4
4.000000E-1	-2.542292E+1	5.454291E-1	-2.542292E+1	-2.521698E-6	1.542029E+3	-5.345530E+3	3.433565E+3	-1.635100E+4	5.770950E+3	-2.850330E+4	2.143760E+4	-5.503431E+4
4.100000E-1	-2.542294E+1	7.682061E-1	-2.542293E+1	-2.698745E-6	1.545729E+3	-5.345530E+3	3.429867E+3	-1.635100E+4	5.770950E+3	-2.850330E+4	2.143760E+4	-5.503801E+4
4.200000E-1	-2.542295E+1	6.046100E-1	-2.542294E+1	-2.745501E-6	1.549429E+3	-5.345530E+3	3.426169E+3	-1.635100E+4	5.770950E+3	-2.850330E+4	2.143760E+4	-5.504171E+4
4.300000E-1	-2.542295E+1	6.722752E-1	-2.542294E+1	-2.780853E-6	1.553129E+3	-5.345530E+3	3.422471E+3	-1.635100E+4	5.770950E+3	-2.850330E+4	2.143760E+4	-5.504541E+4
4.400000E-1	-2.542295E+1	6.610062E-1	-2.542294E+1	-2.746356E-6	1.553720E+3	-5.350710E+3	3.421880E+3	-1.635359E+4	5.768359E+3	-2.850330E+4	2.143501E+4	-5.504341E+4
4.500000E-1	-2.542296E+1	6.390922E-1	-2.542295E+1	-2.852698E-6	1.553720E+3	-5.356875E+3	3.421880E+3	-1.635667E+4	5.765276E+3	-2.850330E+4	2.143193E+4	-5.504033E+4
4.600000E-1	-2.542296E+1	8.744886E-1	-2.542295E+1	-2.876076E-6	1.553720E+3	-5.363040E+3	3.421880E+3	-1.635976E+4	5.762193E+3	-2.850330E+4	2.142884E+4	-5.503724E+4
4.700000E-1	-2.542295E+1	7.555541E-1	-2.542294E+1	-2.799955E-6	1.553720E+3	-5.369205E+3	3.421880E+3	-1.636284E+4	5.759109E+3	-2.850330E+4	2.142576E+4	-5.503416E+4
4.800000E-1	-2.542297E+1	6.692996E-1	-2.542296E+1	-2.946781E-6	1.553720E+3	-5.375369E+3	3.421880E+3	-1.636592E+4	5.756026E+3	-2.850330E+4	2.142268E+4	-5.503108E+4
4.900000E-1	-2.542297E+1	6.250245E-1	-2.542297E+1	-3.032310E-6	1.553720E+3	-5.381534E+3	3.421880E+3	-1.636901E+4	5.752943E+3	-2.850330E+4	2.141959E+4	-5.502799E+4
5.000000E-1	-2.542298E+1	7.775519E-1	-2.542297E+1	-3.072794E-6	1.553720E+3	-5.379930E+3	3.421880E+3	-1.636432E+4	5.755040E+3	-2.850330E+4	2.142169E+4	-5.502750E+4
5.100000E-1	-2.542297E+1	8.322997E-1	-2.542296E+1	-2.998384E-6	1.553720E+3	-5.376847E+3	3.421880E+3	-1.635815E+4	5.758123E+3	-2.850330E+4	2.142477E+4	-5.502750E+4
5.200000E-1	-2.542298E+1	5.784025E-1	-2.542297E+1	-3.057684E-6	1.553720E+3	-5.373763E+3	3.421880E+3	-1.635199E+4	5.761207E+3	-2.850330E+4	2.142786E+4	-5.502750E+4
5.300000E-1	-2.542297E+1	6.016716E-1	-2.542297E+1	-3.034876E-6	1.553720E+3	-5.370680E+3	3.421880E+3	-1.634582E+4	5.764290E+3	-2.850330E+4	2.143094E+4	-5.502750E+4
5.400000E-1	-2.542299E+1	8.465722E-1	-2.542298E+1	-3.152337E-6	1.553720E+3	-5.367597E+3	3.421880E+3	-1.633965E+4	5.767373E+3	-2.850330E+4	2.143402E+4	-5.502750E+4
5.500000E-1	-2.542299E+1	7.077446E-1	-2.542298E+1	-3.156613E-6	1.553720E+3	-5.364514E+3	3.421880E+3	-1.633349E+4	5.770456E+3	-2.850330E+4	2.143711E+4	-5.502750E+4
5.600000E-1	-2.542298E+1	7.241359E-1	-2.542298E+1	-3.130384E-6	1.538183E+3	-5.348487E+3	3.421880E+3	-1.634027E+4	5.763181E+3	-2.850330E+4	2.143760E+4	-5.502750E+4
5.700000E-1	-2.542300E+1	5.266117E-1	-2.542299E+1	-3.259249E-6	1.519684E+3	-5.329993E+3	3.421880E+3	-1.634952E+4	5.753932E+3	-2.850330E+4	2.143760E+4	-5.502750E+4
5.800000E-1	-2.542300E+1	7.740455E-1	-2.542300E+1	-3.344779E-6	1.519827E+3	-5.336350E+3	3.418773E+3	-1.635411E+4	5.752450E+3	-2.850330E+4	2.143449E+4	-5.502750E+4
5.900000E-1	-2.542302E+1	7.975940E-1	-2.542302E+1	-3.539786E-6	1.523527E+3	-5.347448E+3	3.415073E+3	-1.635781E+4	5.752450E+3	-2.850330E+4	2.143079E+4	-5.502750E+4
6.000000E-1	-2.542302E+1	6.202050E-1	-2.542301E+1	-3.525531E-6	1.527227E+3	-5.358546E+3	3.411373E+3	-1.636151E+4	5.752450E+3	-2.850330E+4	2.142709E+4	-5.502750E+4
6.100000E-1	-2.542303E+1	5.253451E-1	-2.542302E+1	-3.606499E-6	1.530927E+3	-5.369644E+3	3.407673E+3	-1.636521E+4	5.752450E+3	-2.850330E+4	2.142339E+4	-5.502750E+4
6.200000E-1	-2.542303E+1	7.685134E-1	-2.542303E+1	-3.637575E-6	1.534627E+3	-5.380742E+3	3.403973E+3	-1.636891E+4	5.752450E+3	-2.850330E+4	2.141969E+4	-5.502750E+4
6.300000E-1	-2.542303E+1	7.170066E-1	-2.542302E+1	-3.605359E-6	1.535220E+3	-5.379931E+3	3.403380E+3	-1.636950E+4	5.752450E+3	-2.850330E+4	2.142169E+4	-5.502750E+4
6.400000E-1	-2.542305E+1	7.045222E-1	-2.542304E+1	-3.790673E-6	1.535220E+3	-5.376847E+3	3.403380E+3	-1.636950E+4	5.752450E+3	-2.850330E+4	2.142477E+4	-5.502750E+4
6.500000E-1	-2.542305E+1	5.157758E-1	-2.542304E+1	-3.790673E-6	1.535220E+3	-5.373764E+3	3.403380E+3	-1.636950E+4	5.752450E+3	-2.850330E+4	2.142786E+4	-5.502750E+4
6.600000E-1	-2.542305E+1	8.993316E-1	-2.542304E+1	-3.799511E-6	1.535220E+3	-5.370681E+3	3.403380E+3	-1.636950E+4	5.752450E+3	-2.850330E+4	2.143094E+4	-5.502750E+4
6.700000E-1	-2.542304E+1	6.070780E-1	-2.542303E+1	-3.724815E-6	1.535220E+3	-5.367598E+3	3.403380E+3	-1.636950E+4	5.752450E+3	-2.850330E+4	2.143402E+4	-5.502750E+4
6.800000E-1	-2.542305E+1	6.597210E-1	-2.542304E+1	-3.824600E-6	1.535220E+3	-5.364515E+3	3.403380E+3	-1.636950E+4	5.752450E+3	-2.850330E+4	2.143711E+4	-5.502750E+4
6.900000E-1	-2.542306E+1	5.946029E-1	-2.542305E+1	-3.903572E-6	1.535220E+3	-5.348117E+3	3.405969E+3	-1.636950E+4	5.768361E+3	-2.850330E+4	2.143760E+4	-5.504341E+4
7.000000E-1	-2.542306E+1	6.410247E-1	-2.542305E+1	-3.906993E-6	1.535220E+3	-5.351199E+3	3.409052E+3	-1.636950E+4	5.765278E+3	-2.850330E+4	2.143760E+4	-5.504033E+4
7.100000E-1	-2.542306E+1	8.601462E-1	-2.542305E+1	-3.871356E-6	1.535220E+3	-5.354281E+3	3.412135E+3	-1.636950E+4	5.762195E+3	-2.850330E+4	2.143760E+4	-5.503724E+4
7.200000E-1	-2.542306E+1	6.930809E-1	-2.542305E+1	-3.898155E-6	1.535220E+3	-5.357362E+3	3.415219E+3	-1.636950E+4	5.759111E+3	-2.850330E+4	2.143760E+4	-5.503416E+4
7.300000E-1	-2.542306E+1	6.264448E-1	-2.542305E+1	-3.903572E-6	1.535220E+3	-5.360444E+3	3.418302E+3	-1.636950E+4	5.756028E+3	-2.850330E+4	2.143760E+4	-5.503108E+4
7.400000E-1	-2.542306E+1	7.323176E-1	-2.542305E+1	-3.917257E-6	1.535220E+3	-5.363525E+3	3.421385E+3	-1.636950E+4	5.752945E+3	-2.850330E+4	2.143760E+4	-5.502799E+4
7.500000E-1	-2.542307E+1	6.484007E-1	-2.542306E+1	-3.991953E-6	1.538326E+3	-5.364020E+3	3.421880E+3	-1.636329E+4	5.755556E+3	-2.850330E+4	2.143449E+4	-5.503061E+4
7.600000E-1	-2.542306E+1	7.664645E-1	-2.542306E+1	-3.958026E-6	1.542026E+3	-5.364020E+3	3.421880E+3	-1.635589E+4	5.759256E+3	-2.850330E+4	2.143079E+4	-5.503431E+4
7.700000E-1	-2.542311E+1	4.648417E-1	-2.542310E+1	-4.370849E-6	1.545726E+3	-5.364020E+3	3.421880E+3	-1.634849E+4	5.762956E+3	-2.850330E+4	2.142709E+4	-5.503801E+4
7.800000E-1	-2.542312E+1	5.929358E-1	-2.542312E+1	-4.560440E-6	1.549425E+3	-5.364020E+3	3.421880E+3	-1.634109E+4	5.766655E+3	-2.850330E+4	2.142339E+4	-5.504171E+4
7.900000E-1	-2.542313E+1	7.753586E-1	-2.542312E+1	-4.583247E-6	1.553125E+3	-5.364020E+3	3.421880E+3	-1.633369E+4	5.770355E+3	-2.850330E+4	2.141969E+4	-5.504541E+4
8.000000E-1	-2.542312E+1	6.682985E-1	-2.542311E+1	-4.545044E-6	1.553720E+3	-5.356262E+3	3.421880E+3	-1.634026E+4	5.770950E+3	-2.850330E+4	2.142686E+4	-5.503824E+4
8.100000E-1	-2.542311E+1	6.819237E-1	-2.542311E+1	-4.457804E-6	1.553720E+3	-5.347017E+3	3.421880E+3	-1.634951E+4	5.770950E+3	-2.850330E+4	2.143611E+4	-5.502899E+4
8.200000E-1	-2.542312E+1	5.622255E-1	-2.542311E+1	-4.526228E-6	1.550615E+3	-5.351738E+3	3.421880E+3	-1.635410E+4	5.767845E+3	-2.850330E+4	2.143760E+4	-5.502750E+4
8.300000E-1	-2.542313E+1	7.842109E-1	-2.542312E+1	-4.644829E-6	1.546915E+3	-5.359136E+3	3.421880E+3	-1.635780E+4	5.764145E+3	-2.850330E+4	2.143760E+4	-5.502750E+4
8.400000E-1	-2.542312E+1	7.390790E-1	-2.542311E+1	-4.539912E-6	1.543215E+3	-5.366534E+3	3.421880E+3	-1.636150E+4	5.760445E+3	-2.850330E+4	2.143760E+4	-5.502750E+4
8.500000E-1	-2.542313E+1	5.135965E-1	-2.542312E+1	-4.604345E-6	1.539516E+3	-5.373931E+3	3.421880E+3	-1.636520E+4	5.756746E+3	-2.850330E+4	2.143760E+4	-5.502750E+4
8.600000E-1	-2.542314E+1	6.611040E-1	-2.542313E+1	-4.676475E-6	1.535816E+3	-5.381329E+3	3.421880E+3	-1.636890E+4	5.753046E+3	-2.850330E+4	2.143760E+4	-5.502750E+4
8.700000E-1	-2.542313E+1	6.855140E-1	-2.542312E+1	-4.653952E-6	1.523581E+3	-5.374761E+3	3.421880E+3	-1.636562E+4	5.756330E+3	-2.850330E+4	2.143760E+4	-5.502750E+4
8.800000E-1	-2.542314E+1	6.713253E-1	-2.542313E+1	-4.677615E-6	1.509708E+3	-5.365514E+3	3.421880E+3	-1.636099E+4	5.760955E+3	-2.850330E+4	2.143760E+4	-5.502750E+4
8.900000E-1	-2.542313E+1	6.383797E-1	-2.542312E+1	-4.639127E-6	1.495836E+3	-5.356266E+3	3.421880E+3	-1.635637E+4	5.765580E+3	-2.850330E+4	2.143760E+4	-5.502750E+4
9.000000E-1	-2.542314E+1	4.203618E-1	-2.542313E+1	-4.751456E-6	1.481963E+3	-5.347019E+3	3.421880E+3	-1.635174E+4	5.770205E+3	-2.850330E+4	2.143760E+4	-5.502750E+4
9.100000E-1	-2.542314E+1	8.852826E-1	-2.542314E+1	-4.760009E-6	1.484904E+3	-5.340356E+3	3.421880E+3	-1.635617E+4	5.770950E+3	-2.850330E+4	2.143760E+4	-5.502750E+4
9.200000E-1	-2.542314E+1	7.111579E-1	-2.542314E+1	-4.766851E-6	1.491070E+3	-5.334190E+3	3.421880E+3	-1.636234E+4	5.770950E+3	-2.850330E+4	2.143760E+4	-5.502750E+4
9.300000E-1	-2.542315E+1	6.531319E-1	-2.542314E+1	-4.848959E-6	1.497237E+3	-5.328023E+3	3.421880E+3	-1.636851E+4	5.770950E+3	-2.850330E+4	2.143760E+4	-5.502750E+4
9.400000E-1	-2.542316E+1	5.828636E-1	-2.542315E+1	-4.884312E-6	1.503400E+3	-5.332203E+3	3.416707E+3	-1.636433E+4	5.765777E+3	-2.850330E+4	2.143760E+4	-5.503267E+4
9.500000E-1	-2.542316E+1	6.415509E-1	-2.542315E+1	-4.882601E-6	1.509563E+3	-5.338370E+3	3.410540E+3	-1.635816E+4	5.759610E+3	-2.850330E+4	2.143760E+4	-5.503884E+4
9.600000E-1	-2.542316E+1	8.266419E-1	-2.542315E+1	-4.888873E-6	1.515727E+3	-5.344536E+3	3.404374E+3	-1.635199E+4	5.753444E+3	-2.850330E+4	2.143760E+4	-5.504501E+4
9.700000E-1	-2.542315E+1	6.532529E-1	-2.542314E+1	-4.846109E-6	1.520599E+3	-5.345530E+3	3.403380E+3	-1.635100E+4	5.752450E+3	-2.850330E+4	2.143372E+4	-5.504600E+4
9.800000E-1	-2.542316E+1	5.562138E-1	-2.542315E+1	-4.933919E-6	1.525224E+3	-5.345530E+3	3.403380E+3	-1.635100E+4	5.752450E+3	-2.850330E+4	2.142910E+4	-5.504600E+4
9.900000E-1	-2.542316E+1	8.345256E-1	-2.542315E+1	-4.925366E-6	1.529849E+3	-5.345530E+3	3.403380E+3	-1.635100E+4	5.752450E+3	-2.850330E+4	2.142447E+4	-5.504600E+4
1.000000E+0	-2.542316E+1	6.763823E-1	-2.542315E+1	-4.930498E-6	1.534474E+3	-5.345530E+3	3.403380E+3	-1.635100E+4	5.752450E+3	-2.850330E+4	2.141985E+4	-5.504600E+4
1.010000E+0	-2.542317E+1	8.019805E-1	-2.542316E+1	-4.993505E-6	1.535220E+3	-5.348340E+3	3.406191E+3	-1.635381E+4	5.752450E+3	-2.850611E+4	2.141910E+4	-5.504319E+4
1.020000E+0	-2.542316E+1	5.361531E-1	-2.542316E+1	-4.975258E-6	1.535220E+3	-5.351690E+3	3.409543E+3	-1.635716E+4	5.752450E+3	-2.850946E+4	2.141910E+4	-5.503984E+4
1.030000E+0	-2.542316E+1	7.503713E-1	-2.542315E+1	-4.911111E-6	1.535220E+3	-5.355039E+3	3.412895E+3	-1.636051E+4	5.752450E+3	-2.851281E+4	2.141910E+4	-5.503649E+4
1.040000E+0	-2.542316E+1	7.542688E-1	-2.542316E+1	-4.967561E-6	1.535220E+3	-5.358389E+3	3.416246E+3	-1.636387E+4	5.752450E+3	-2.851617E+4	2.141910E+4	-5.503313E+4
1.050000E+0	-2.542317E+1	5.533220E-1	-2.542317E+1	-5.070196E-6	1.535220E+3	-5.361739E+3	3.419598E+3	-1.636722E+4	5.752450E+3	-2.851952E+4	2.141910E+4	-5.502978E+4
1.060000E+0	-2.542318E+1	6.139372E-1	-2.542317E+1	-5.126646E-6	1.537070E+3	-5.364020E+3	3.420030E+3	-1.636765E+4	5.754300E+3	-2.851995E+4	2.142095E+4	-5.502935E+4
1.070000E+0	-2.542317E+1	6.563077E-1	-2.542316E+1	-5.037410E-6	1.542867E+3	-5.364020E+3	3.414233E+3	-1.636185E+4	5.760097E+3	-2.851415E+4	2.142675E+4	-5.503515E+4
1.080000E+0	-2.542317E+1	7.391535E-1	-2.542316E+1	-5.007759E-6	1.548664E+3	-5.364020E+3	3.408436E+3	-1.635606E+4	5.765894E+3	-2.850836E+4	2.143254E+4	-5.504094E+4
1.090000E+0	-2.542317E+1	6.556837E-1	-2.542316E+1	-5.042542E-6	1.552733E+3	-5.363527E+3	3.403873E+3	-1.635100E+4	5.770950E+3	-2.850330E+4	2.143711E+4	-5.504551E+4
1.100000E+0	-2.542317E+1	4.591979E-1	-2.542316E+1	-5.037410E-6	1.545004E+3	-5.359664E+3	3.407738E+3	-1.635100E+4	5.770950E+3	-2.850330E+4	2.143324E+4	-5.504164E+4
1.110000E+0	-2.542318E+1	7.956009E-1	-2.542317E+1	-5.086732E-6	1.537275E+3	-5.355802E+3	3.411602E+3	-1.635100E+4	5.770950E+3	-2.850330E+4	2.142938E+4	-5.503778E+4
1.120000E+0	-2.542318E+1	6.193621E-1	-2.542317E+1	-5.086162E-6	1.529547E+3	-5.351940E+3	3.415467E+3	-1.635100E+4	5.770950E+3	-2.850330E+4	2.142551E+4	-5.503391E+4
1.130000E+0	-2.542320E+1	6.964151E-1	-2.542319E+1	-5.292858E-6	1.521818E+3	-5.348078E+3	3.419331E+3	-1.635100E+4	5.770950E+3	-2.850330E+4	2.142165E+4	-5.503005E+4
1.140000E+0	-2.542320E+1	5.758926E-1	-2.542319E+1	-5.304547E-6	1.517150E+3	-5.345959E+3	3.421880E+3	-1.635100E+4	5.770950E+3	-2.850330E+4	2.141910E+4	-5.502750E+4
1.150000E+0	-2.542320E+1	5.759718E-1	-2.542319E+1	-5.313670E-6	1.518411E+3	-5.347220E+3	3.421880E+3	-1.635100E+4	5.770950E+3	-2.850330E+4	2.141910E+4	-5.502750E+4
1.160000E+0	-2.542320E+1	8.116057E-1	-2.542319E+1	-5.365558E-6	1.519673E+3	-5.348482E+3	3.421880E+3	-1.635100E+4	5.770950E+3	-2.850330E+4	2.141910E+4	-5.502750E+4
1.170000E+0	-2.542320E+1	6.010057E-1	-2.542319E+1	-5.297990E-6	1.520935E+3	-5.349743E+3	3.421880E+3	-1.635100E+4	5.770950E+3	-2.850330E+4	2.141910E+4	-5.502750E+4
1.180000E+0	-2.542319E+1	6.355811E-1	-2.542318E+1	-5.257221E-6	1.522197E+3	-5.351004E+3	3.421880E+3	-1.635100E+4	5.770950E+3	-2.850330E+4	2.141910E+4	-5.502750E+4
1.190000E+0	-2.542321E+1	6.508641E-1	-2.542320E+1	-5.430846E-6	1.523459E+3	-5.352265E+3	3.421880E+3	-1.635100E+4	5.770950E+3	-2.850330E+4	2.141910E+4	-5.502750E+4
1.200000E+0	-2.542322E+1	6.089406E-1	-2.542321E+1	-5.531771E-6	1.524721E+3	-5.353526E+3	3.421880E+3	-1.635100E+4	5.770950E+3	-2.850330E+4	2.141910E+4	-5.502750E+4
1.210000E+0	-2.542322E+1	7.464737E-1	-2.542321E+1	-5.547451E-6	1.525982E+3	-5.354787E+3	3.421880E+3	-1.635100E+4	5.770950E+3	-2.850330E+4	2.141910E+4	-5.502750E+4
1.220000E+0	-2.542322E+1	5.982537E-1	-2.542321E+1	-5.553724E-6	1.527244E+3	-5.356049E+3	3.421880E+3	-1.635100E+4	5.770950E+3	-2.850330E+4	2.141910E+4	-5.502750E+4
1.230000E+0	-2.542322E+1	6.134948E-1	-2.542322E+1	-5.573681E-6	1.528506E+3	-5.357310E+3	3.421880E+3	-1.635100E+4	5.770950E+3	-2.850330E+4	2.141910E+4	-5.502750E+4
1.240000E+0	-2.542322E+1	7.877825E-1	-2.542321E+1	-5.540039E-6	1.529768E+3	-5.358571E+3	3.421880E+3	-1.635100E+4	5.770950E+3	-2.850330E+4	2.141910E+4	-5.502750E+4
